source,category,title,date,summary,content,url
MOD India,Defence,INDIA - KYRGYZSTAN JOINT SPECIAL FORCES EXERCISE KHANJAR COMMENCES IN ASSAM - PIB,2026-02-04,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTFA3X1VINHktVXlXSzgtNE91Tnp0dnVYdVhWSXpWdnRVY01EWkc2SmpqWTBpbDFYRzM1cnpJTHF3Wm5sSFk0aVdJTDdXMklzYV9NWjJ4RGw0YlUzVlYyc3RsaWJpdC1KZ1JQNXBJTmZsWW1pS0JfaEZhUWFR?oc=5"" target=""_blank"">INDIA - KYRGYZSTAN JOINT SPECIAL FORCES EXERCISE KHANJAR COMMENCES IN ASSAM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">","<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTFA3X1VINHktVXlXSzgtNE91Tnp0dnVYdVhWSXpWdnRVY01EWkc2SmpqWTBpbDFYRzM1cnpJTHF3Wm5sSFk0aVdJTDdXMklzYV9NWjJ4RGw0YlUzVlYyc3RsaWJpdC1KZ1JQNXBJTmZsWW1pS0JfaEZhUWFR?oc=5"" target=""_blank"">INDIA - KYRGYZSTAN JOINT SPECIAL FORCES EXERCISE KHANJAR COMMENCES IN ASSAM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>",https://news.google.com/rss/articles/CBMiekFVX3lxTFA3X1VINHktVXlXSzgtNE91Tnp0dnVYdVhWSXpWdnRVY01EWkc2SmpqWTBpbDFYRzM1cnpJTHF3Wm5sSFk0aVdJTDdXMklzYV9NWjJ4RGw0YlUzVlYyc3RsaWJpdC1KZ1JQNXBJTmZsWW1pS0JfaEZhUWFR?oc=5
MOD India,Defence,EXEMPTION FROM QUALIFYING LANGUAGE PAPER - PIB,2026-02-04,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTFBhWVI3aG9TWVZjTjloV3NIQXlNZDl1bThXa3FzVTNPSFFFdGJuQmhQcHZId2lubG03TUZGSDJiOUpRdl9Ma2R3bDAxczFjZDAxTUNkQS1EazloMFJyMlg4ZWZNY1h2bGxWdGV6NUlVX05jNk43cUwzUGpKYw?oc=5"" target=""_blank"">EXEMPTION FROM QUALIFYING LANGUAGE PAPER</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>","<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTFBhWVI3aG9TWVZjTjloV3NIQXlNZDl1bThXa3FzVTNPSFFFdGJuQmhQcHZId2lubG03TUZGSDJiOUpRdl9Ma2R3bDAxczFjZDAxTUNkQS1EazloMFJyMlg4ZWZNY1h2bGxWdGV6NUlVX05jNk43cUwzUGpKYw?oc=5"" target=""_blank"">EXEMPTION FROM QUALIFYING LANGUAGE PAPER</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>",https://news.google.com/rss/articles/CBMie0FVX3lxTFBhWVI3aG9TWVZjTjloV3NIQXlNZDl1bThXa3FzVTNPSFFFdGJuQmhQcHZId2lubG03TUZGSDJiOUpRdl9Ma2R3bDAxczFjZDAxTUNkQS1EazloMFJyMlg4ZWZNY1h2bGxWdGV6NUlVX05jNk43cUwzUGpKYw?oc=5
The Hindu,Defence,Why the government has increased capital spending for the defence sector,2026-02-04,Why the government has increased capital spending for the defence sectorthehindu.com,Why the government has increased capital spending for the defence sectorthehindu.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxPdWJkUERiR1piLVk5WGtmeEVObWliVElZUWNUVzdFM211UlVsUUxXcm4tVEZob0NnWWFXRS1Ta25qQTN5YU1WNjdPLUgwajhHaG5aaDMtZHY5bnY0Z2N5RkNraDRHSnJKWDU0V0NZUVAzY3M1SEs4ZE1yd2kyQU5KazZjSXBSNGtRLXVUZGNidjRUM1pUWUlFTWpYdWtjR2ZsNmxYX3JrSXVSUFF2UmsxdEd3TXFtajJHcWE0TUxBdjJzZV9NbzV1U1hvZTdPZ9IB1AFBVV95cUxNOEh3c0R0VHphVzgydjBhc0gtNUlsMFZRTWIxMUZJREFzOUsxeWhLQi00alpDMng5U2hCNFVLYlJmRGR6cEZDa3Q5VUFBY0tpOGJEREVSeG9oYzZkZ1VSUEZnaXpSOE5JNl95c3B0LXdJdGJqN0tQeEJzYWdVSDR4WWhRbnk5VWh4d0t3SHFENHRnSTBfbkNxTUVsbkNwLU5UY3R1NEZRM29OTHhEeFNyODdXTURqWklHWnB0X1VTUVFEY2hma1BsMmh3MTVWQm56cjE1Qw?oc=5
DD News,Defence,"Union Budget 2026-27 puts strong emphasis on defence modernisation, self-reliance and veterans’ welfare - ddnews.gov.in",2026-02-03,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQdE5pbm1IWDlvNGRaZjFSdUwxb2J4bV8tdm10Uks1Y1BYMGtoNVpBRkh0ckFiZ2ZQLWFDOGluZ3hLalVsN3gzbGhpVHRPbWRNUU9IbGtaRlFyTmZBdzFaYjJFeVIzMTJBYWFsVWp6eUwzNEJVLXkzazZWb3BNZmc4VHZDa3RXUHZJeWJ5NTBLOE5VdGRJQTlSRVZtSFdhUzYyYkIzeElzQ1FtWC1peTFnb0pnTDhrdGwyc2JpV21IemxjN0RzNXc?oc=5"" target=""_blank"">Union Budg","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQdE5pbm1IWDlvNGRaZjFSdUwxb2J4bV8tdm10Uks1Y1BYMGtoNVpBRkh0ckFiZ2ZQLWFDOGluZ3hLalVsN3gzbGhpVHRPbWRNUU9IbGtaRlFyTmZBdzFaYjJFeVIzMTJBYWFsVWp6eUwzNEJVLXkzazZWb3BNZmc4VHZDa3RXUHZJeWJ5NTBLOE5VdGRJQTlSRVZtSFdhUzYyYkIzeElzQ1FtWC1peTFnb0pnTDhrdGwyc2JpV21IemxjN0RzNXc?oc=5"" target=""_blank"">Union Budget 2026-27 puts strong emphasis on defence modernisation, self-reliance and veterans’ welfare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",https://news.google.com/rss/articles/CBMixgFBVV95cUxQdE5pbm1IWDlvNGRaZjFSdUwxb2J4bV8tdm10Uks1Y1BYMGtoNVpBRkh0ckFiZ2ZQLWFDOGluZ3hLalVsN3gzbGhpVHRPbWRNUU9IbGtaRlFyTmZBdzFaYjJFeVIzMTJBYWFsVWp6eUwzNEJVLXkzazZWb3BNZmc4VHZDa3RXUHZJeWJ5NTBLOE5VdGRJQTlSRVZtSFdhUzYyYkIzeElzQ1FtWC1peTFnb0pnTDhrdGwyc2JpV21IemxjN0RzNXc?oc=5
MOD India,Defence,Defence in Union Budget 2026–27 - PIB,2026-02-03,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE1PZnQ2NkpDcGNfUUVKSHJ2ZUw3VkhZYk92VHE5YjdremlwbUpyb1lJbUVLbEVRbThQd3RBNzVhU3FZdkM3alBhRGdEczktWlBGc0Q2eHNwWGVmSmwyOEdBc0U2cGxsWVdw?oc=5"" target=""_blank"">Defence in Union Budget 2026–27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>","<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE1PZnQ2NkpDcGNfUUVKSHJ2ZUw3VkhZYk92VHE5YjdremlwbUpyb1lJbUVLbEVRbThQd3RBNzVhU3FZdkM3alBhRGdEczktWlBGc0Q2eHNwWGVmSmwyOEdBc0U2cGxsWVdw?oc=5"" target=""_blank"">Defence in Union Budget 2026–27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1PZnQ2NkpDcGNfUUVKSHJ2ZUw3VkhZYk92VHE5YjdremlwbUpyb1lJbUVLbEVRbThQd3RBNzVhU3FZdkM3alBhRGdEczktWlBGc0Q2eHNwWGVmSmwyOEdBc0U2cGxsWVdw?oc=5
DD News,Defence,Defence Ministry allocated record Rs 7.85 lakh crore in Union Budget 2026-27 - ddnews.gov.in,2026-02-01,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQcHprUFRLTU5LNkpyTE5Ccm9KX1FDZ0tMQzUySHdmbmxPamg0QVZmZGV0M3lsVG5BVU5ycDVGcldCa3NFS1k2R1pPYWZYcnRzMHNNd29nSXMyOWpPSmtUZkc3TjlCRGdDSkdhUE53aHg0YUVGRFl6WTItSEtBcnFLNTFyc2prZnh4TEROa0IxYUxEUVo2MmNVQ2QxUzF5NlNGbkRKTw?oc=5"" target=""_blank"">Defence Ministry allocated record Rs 7.85 lakh crore in","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQcHprUFRLTU5LNkpyTE5Ccm9KX1FDZ0tMQzUySHdmbmxPamg0QVZmZGV0M3lsVG5BVU5ycDVGcldCa3NFS1k2R1pPYWZYcnRzMHNNd29nSXMyOWpPSmtUZkc3TjlCRGdDSkdhUE53aHg0YUVGRFl6WTItSEtBcnFLNTFyc2prZnh4TEROa0IxYUxEUVo2MmNVQ2QxUzF5NlNGbkRKTw?oc=5"" target=""_blank"">Defence Ministry allocated record Rs 7.85 lakh crore in Union Budget 2026-27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",https://news.google.com/rss/articles/CBMipAFBVV95cUxQcHprUFRLTU5LNkpyTE5Ccm9KX1FDZ0tMQzUySHdmbmxPamg0QVZmZGV0M3lsVG5BVU5ycDVGcldCa3NFS1k2R1pPYWZYcnRzMHNNd29nSXMyOWpPSmtUZkc3TjlCRGdDSkdhUE53aHg0YUVGRFl6WTItSEtBcnFLNTFyc2prZnh4TEROa0IxYUxEUVo2MmNVQ2QxUzF5NlNGbkRKTw?oc=5
MOD India,Defence,AIR MARSHAL INDERPAL SINGH WALIA TAKES OVER AS AIR OFFICER COMMANDING-IN-CHIEF EASTERN AIR COMMAND - PIB,2026-02-01,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE9JbzFNc3NPQjh3bldXcWMzWTJMSjFldjBvandMZFVxVVJLZEhzZmhZRlY0TVFsLWtoaDJDZkNmVWhSUXVDcVhQdXVHQ0VrU1JVc2w3VjZ3Y0VETDlYTzlraUFqbU1rWDN3aFZCWGdTeHVxUkpJdXdaZnRn?oc=5"" target=""_blank"">AIR MARSHAL INDERPAL SINGH WALIA TAKES OVER AS AIR OFFICER COMMANDING-IN-CHIEF EASTERN AIR COMMAND</a>&nbsp;&nbsp","<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE9JbzFNc3NPQjh3bldXcWMzWTJMSjFldjBvandMZFVxVVJLZEhzZmhZRlY0TVFsLWtoaDJDZkNmVWhSUXVDcVhQdXVHQ0VrU1JVc2w3VjZ3Y0VETDlYTzlraUFqbU1rWDN3aFZCWGdTeHVxUkpJdXdaZnRn?oc=5"" target=""_blank"">AIR MARSHAL INDERPAL SINGH WALIA TAKES OVER AS AIR OFFICER COMMANDING-IN-CHIEF EASTERN AIR COMMAND</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PIB</font>",https://news.google.com/rss/articles/CBMiekFVX3lxTE9JbzFNc3NPQjh3bldXcWMzWTJMSjFldjBvandMZFVxVVJLZEhzZmhZRlY0TVFsLWtoaDJDZkNmVWhSUXVDcVhQdXVHQ0VrU1JVc2w3VjZ3Y0VETDlYTzlraUFqbU1rWDN3aFZCWGdTeHVxUkpJdXdaZnRn?oc=5
DD News,Defence,Rajnath Singh meets EU High Representative Kaja Kallas; calls for synergy between Indian & European defence industries - ddnews.gov.in,2026-01-27,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNakxtRVRhQjM1eEZMS2ZpY3NLUi1vck85YXJhSjA4VVJCZnQ5Y3FrU0F5N2pERVNURVlPZzVsQzdMM0NKTGtKT3pvWTJIZ1pOWldDMEhPbTVJdmt4MElJbkpCamc1akhQQks2bWxiU2RwRngwUHFoQ092ZnZiMzV5MC15ZUZpSFNGV0NqNnNYZUgwcnRfQ19SeW1sLTdqSFlpckxSR3Z2NGNtdkIzaDNHMW1fNjlIb0MtTFdncmNxek5xNV9Eb25BR1JoVjExdlNVVWJNc3hCWkQ?oc=5"" ta","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNakxtRVRhQjM1eEZMS2ZpY3NLUi1vck85YXJhSjA4VVJCZnQ5Y3FrU0F5N2pERVNURVlPZzVsQzdMM0NKTGtKT3pvWTJIZ1pOWldDMEhPbTVJdmt4MElJbkpCamc1akhQQks2bWxiU2RwRngwUHFoQ092ZnZiMzV5MC15ZUZpSFNGV0NqNnNYZUgwcnRfQ19SeW1sLTdqSFlpckxSR3Z2NGNtdkIzaDNHMW1fNjlIb0MtTFdncmNxek5xNV9Eb25BR1JoVjExdlNVVWJNc3hCWkQ?oc=5"" target=""_blank"">Rajnath Singh meets EU High Representative Kaja Kallas; calls for synergy between Indian & European defence industries</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",https://news.google.com/rss/articles/CBMi2AFBVV95cUxNakxtRVRhQjM1eEZMS2ZpY3NLUi1vck85YXJhSjA4VVJCZnQ5Y3FrU0F5N2pERVNURVlPZzVsQzdMM0NKTGtKT3pvWTJIZ1pOWldDMEhPbTVJdmt4MElJbkpCamc1akhQQks2bWxiU2RwRngwUHFoQ092ZnZiMzV5MC15ZUZpSFNGV0NqNnNYZUgwcnRfQ19SeW1sLTdqSFlpckxSR3Z2NGNtdkIzaDNHMW1fNjlIb0MtTFdncmNxek5xNV9Eb25BR1JoVjExdlNVVWJNc3hCWkQ?oc=5
DD News,Defence,"India-EU expand defence, maritime and green growth cooperation - ddnews.gov.in",2026-01-27,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxOZEk5TUxRLWU4bzhCVFVoZ2Etb2I2ajVZUm5xTWtSalZaVXZyY0c3MmM3Q29xODdEZWctMkJnSzZrajJBMFlab3FXczBNVkgyM0k2RmlvTG02S0YwY2VUWWlubV9TcHV2aDIta2lWMzFQYkRqYzRaUmRvZlVjQzN4TnB2WElHUzhySllKNFVRa1Y?oc=5"" target=""_blank"">India-EU expand defence, maritime and green growth cooperation</a>&nbsp;&nbsp;<fon","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxOZEk5TUxRLWU4bzhCVFVoZ2Etb2I2ajVZUm5xTWtSalZaVXZyY0c3MmM3Q29xODdEZWctMkJnSzZrajJBMFlab3FXczBNVkgyM0k2RmlvTG02S0YwY2VUWWlubV9TcHV2aDIta2lWMzFQYkRqYzRaUmRvZlVjQzN4TnB2WElHUzhySllKNFVRa1Y?oc=5"" target=""_blank"">India-EU expand defence, maritime and green growth cooperation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",https://news.google.com/rss/articles/CBMikAFBVV95cUxOZEk5TUxRLWU4bzhCVFVoZ2Etb2I2ajVZUm5xTWtSalZaVXZyY0c3MmM3Q29xODdEZWctMkJnSzZrajJBMFlab3FXczBNVkgyM0k2RmlvTG02S0YwY2VUWWlubV9TcHV2aDIta2lWMzFQYkRqYzRaUmRvZlVjQzN4TnB2WElHUzhySllKNFVRa1Y?oc=5
DD News,Defence,Rajnath Singh says ‘Operation Sindoor’ showcased India’s growing indigenous defence capabilities - ddnews.gov.in,2026-01-27,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPR3g5a0I0Vm5TSkFKN2REVDBGd0tvQ0xmMzhqUkNXS2pJR1NuNUhYMlR1RVdZUHpIRmVLWVB2SjlmQ3N0aGhUaEpXMktQczFLYlNodFhtQU9kYjZ0UnJBY01pbkN5elQ4UlI4ZFJkLW54Z0NrWDNNZ3dPVVo1Mkg5azZjQXJ0c2Z3X0QzX0t2M2UzQ0tNdzNkTWRFUHpSZm55LXVkRnJJdlN3aU9SMjJQS0lPeXVqQkNVNldR?oc=5"" target=""_blank"">Rajnath Singh says ‘Opera","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPR3g5a0I0Vm5TSkFKN2REVDBGd0tvQ0xmMzhqUkNXS2pJR1NuNUhYMlR1RVdZUHpIRmVLWVB2SjlmQ3N0aGhUaEpXMktQczFLYlNodFhtQU9kYjZ0UnJBY01pbkN5elQ4UlI4ZFJkLW54Z0NrWDNNZ3dPVVo1Mkg5azZjQXJ0c2Z3X0QzX0t2M2UzQ0tNdzNkTWRFUHpSZm55LXVkRnJJdlN3aU9SMjJQS0lPeXVqQkNVNldR?oc=5"" target=""_blank"">Rajnath Singh says ‘Operation Sindoor’ showcased India’s growing indigenous defence capabilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPR3g5a0I0Vm5TSkFKN2REVDBGd0tvQ0xmMzhqUkNXS2pJR1NuNUhYMlR1RVdZUHpIRmVLWVB2SjlmQ3N0aGhUaEpXMktQczFLYlNodFhtQU9kYjZ0UnJBY01pbkN5elQ4UlI4ZFJkLW54Z0NrWDNNZ3dPVVo1Mkg5azZjQXJ0c2Z3X0QzX0t2M2UzQ0tNdzNkTWRFUHpSZm55LXVkRnJJdlN3aU9SMjJQS0lPeXVqQkNVNldR?oc=5
